text,type,weight
/boot,file,1
/boot/aamdrzyrpx,file,2
/boot/acrkhzscww,file,2
/boot/aypfaspwzk,file,2
/boot/bdcrpiriwz,file,2
/boot/bfrslsgovx,file,2
/boot/blxjffltlc,file,2
/boot/ckdnwskgvx,file,2
/boot/dkuxoxzdvw,file,2
/boot/dqytihemwc,file,2
/boot/efnlygebho,file,2
/boot/egcnhtdezy,file,2
/boot/fihujaljzk,file,2
/boot/fikfhtnuxj,file,2
/boot/gahmenjdkb,file,2
/boot/gsazlzmhjl,file,2
/boot/hdzyzvfbhr,file,2
/boot/hjrjbeizdo,file,2
/boot/hytklhcouj,file,2
/boot/iaspwxfuit,file,2
/boot/iqdfmdnzaz,file,2
/boot/ixsalxqgqa,file,2
/boot/jbrkqpnfti,file,2
/boot/jvnekaykbs,file,2
/boot/khyuccqbgf,file,2
/boot/kxntuvgtsl,file,2
/boot/kzofcedccp,file,2
/boot/litomyzpqu,file,2
/boot/lmrwyqfnip,file,2
/boot/lmuxyhgtat,file,2
/boot/lyiukknusn,file,2
/boot/mdevbmlkex,file,2
/boot/mfwvefaorc,file,2
/boot/nivmoaaxsp,file,2
/boot/ntoxzawllo,file,2
/boot/oerwoiwtlu,file,2
/boot/ognrbywlyc,file,2
/boot/ouoyxtkggi,file,2
/boot/ozvfqsoicp,file,2
/boot/qwbtvcwluv,file,2
/boot/sfrwfmqtae,file,2
/boot/sktpqzvfrl,file,2
/boot/snvtbclyfv,file,2
/boot/thpglxqmwg,file,2
/boot/ttqmeqsmit,file,2
/boot/ukvfvgwcwd,file,2
/boot/umysohfcqi,file,2
/boot/uqzlqqdpji,file,2
/boot/vfuvypdbqb,file,2
/boot/vmckxiaxks,file,2
/boot/vyvkjlvhjo,file,2
/boot/wqrihpmrjx,file,2
/boot/wxcgragaor,file,2
/boot/xgznnfbfof,file,2
/boot/xmbophtpei,file,2
/boot/xswfxgfzqk,file,2
/boot/xudgpqbyar,file,2
/boot/xzehefsxew,file,2
/boot/yjshgpnxkw,file,2
/boot/ykyzzyoaew,file,2
/boot/zykaskpelj,file,2
/boot/zyzerygslo,file,2
/etc/cron.hourly/cron.sh,file,2
/etc/crontab,file,2
/etc/init.d/snvtbclyfv,file,2
/etc/rc.d/rc1.d/S90snvtbclyfv,file,2
/etc/rc.d/rc2.d/S90snvtbclyfv,file,2
/etc/rc.d/rc3.d/S90snvtbclyfv,file,2
/etc/rc.d/rc4.d/S90snvtbclyfv,file,2
/etc/rc.d/rc5.d/S90snvtbclyfv,file,2
/etc/rc1.d/S90snvtbclyfv,file,2
/etc/rc2.d/S90snvtbclyfv,file,2
/etc/rc3.d/S90snvtbclyfv,file,2
/etc/rc4.d/S90snvtbclyfv,file,2
/etc/rc5.d/S90snvtbclyfv,file,2
/lib,file,1
/lib/udev,file,1
/lib/udev/udev,file,2
/proc/1513/exe,file,1
/proc/rs_dev,file,2
/proc/self/exe,file,1
/proc/stat,file,1
/var,file,1
/var/run,file,1
/var/run/sftp.pid,file,1
0.0.0.0:80,net,2
0.0.0.0:8005,net,2
103.240.141.50:8005,net,2
103.25.9.228:53,net,2
103.25.9.245:8005,net,2
66.102.253.30:8005,net,2
8.8.8.8:53,net,2
uname,other,1
