report,word,verb,objectType,prettyReg,match,label,sentence
Dofloo-MalwareMustDie.csv,0x0002f144,svc,MEM,mem_addr,0,0,"1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ;-- entry0: 0x0002f118  adr     r12, off_2f104 0x0002f11c  ldmia   r12, {r1,r2,r10,r11,lr} 0x0002f120  add     r10, r10, r12 0x0002f124  add     r11, r11, r12 0x0002f128  mov     r0, r2 0x0002f12c  sub     r9, r12, r1 0x0002f130  add     r1, r1, #0x1000 0x0002f134  mov     r3, #0 0x0002f138  stmfd   sp!, {r0-r3,lr} 0x0002f13c  mov     r2, #7 0x0002f140  ldr     r3, [r12,#0x10] 0x0002f144  mov     r5, #0 0x0002f148  mov     r4, 0xffffffff 0x0002f14c  orr     r3, r3, #0x10 0x0002f150  mov     r7, #0xc0 0x0002f154  svc     0 0x0002f158  cmn     r0, #0x1000 0x0002f15c  bcs     loc_0x02fbd0   [...]  ..following the registers value and in r1 we will find the value that can tell what is happening:  1 2 3 4 5 0x0002fbd0  mov  r2, #0x1e 0x0002fbd4  adr  r1, aprot_execprot_ ; prot_exec|prot_write failed.\n 0x0002fbd8  mov  r0, #2 0x0002fbdc  mov  r7, #4 0x0002fbe0  svc  0 this value may ring your bells too :)."
Dofloo-MalwareMustDie.csv,ethernet,grab,NET,^eth.*,0,0,"how it grabs the ethernet data, or how this malware use socket to connect an ip, for example, since the code is too long."
Dofloo-MalwareMustDie.csv,0x0002fc5f,eserve,MEM,mem_addr,0,0,all rights r 0x0002fc5f                 dcb eserved.
Dofloo-MalwareMustDie.csv,0x0002fbf0,look,MEM,mem_addr,0,0,"i look from its dcb data from where it was called and clarifying the answer:  1 2 3 4 5 6 7 8 9 10 11 0x0002fbf0 aprot_execprot_ dcb prot_exec|prot_write failed.,0xa,0 0x0002fc0e                 dcb 0xa,0 0x0002fc10 ainfothisfileis dcb 0x24,info: this file is packed with the upx executable packer http:/ 0x0002fc10                 dcb /upx.sf.net ,0x24,0xa,0 0x0002fc5f aidupx3_91copyr dcb 0x24,id: upx 3.91 copyright (c) 1996-2013 the upx team."
Dofloo-MalwareMustDie.csv,0x0002f118,add,MEM,mem_addr,0,0,"1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ;-- entry0: 0x0002f118  adr     r12, off_2f104 0x0002f11c  ldmia   r12, {r1,r2,r10,r11,lr} 0x0002f120  add     r10, r10, r12 0x0002f124  add     r11, r11, r12 0x0002f128  mov     r0, r2 0x0002f12c  sub     r9, r12, r1 0x0002f130  add     r1, r1, #0x1000 0x0002f134  mov     r3, #0 0x0002f138  stmfd   sp!, {r0-r3,lr} 0x0002f13c  mov     r2, #7 0x0002f140  ldr     r3, [r12,#0x10] 0x0002f144  mov     r5, #0 0x0002f148  mov     r4, 0xffffffff 0x0002f14c  orr     r3, r3, #0x10 0x0002f150  mov     r7, #0xc0 0x0002f154  svc     0 0x0002f158  cmn     r0, #0x1000 0x0002f15c  bcs     loc_0x02fbd0   [...]  ..following the registers value and in r1 we will find the value that can tell what is happening:  1 2 3 4 5 0x0002fbd0  mov  r2, #0x1e 0x0002fbd4  adr  r1, aprot_execprot_ ; prot_exec|prot_write failed.\n 0x0002fbd8  mov  r0, #2 0x0002fbdc  mov  r7, #4 0x0002fbe0  svc  0 this value may ring your bells too :)."
Dofloo-MalwareMustDie.csv,182.254.180.0/23,,NET,ip_addr,0,0,"1 2 3 4 asn: 45090 / cnnic-tencent-net prefix: 182.254.180.0/23 isp: comsenz technology ltd country: china ..well, i am not surprised."
Dofloo-MalwareMustDie.csv,0x000d0c24,be,MEM,mem_addr,0,0,"so as you can see it was served from sept 10th and is having 4 downloads (including me, one time)  the file looks like this:  1 2 3 4 5 6 $ ls -alf 1 -rwxr--r--  1 mmd  mmd  165,176 sep 10 10:21 1 $ md5 1 md5 (1) = 0bb68bd65d94f61b7b20117b99d8526c $ file 1 1: elf 32-bit lsb executable, arm, version 1 (gnu/linux), statically linked, stripped  well, we know is an arm binary, but i need more information, so i check the elf composition:  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15   entry point address:  0x2f118   start of program headers: 52 (bytes into file)   start of section headers: 0 (bytes into file)   flags: 0x4000002, has entry point, version4 eabi   size of this header: 52 (bytes)   size of program headers: 32 (bytes)   number of program headers: 2   size of section headers: 40 (bytes)   number of section headers: 0   section header string table index: 0   program headers:   type     offset   virtaddr   physaddr   filesiz memsiz  flg align   load     0x000000 0x00008000 0x00008000 0x282b1 0x282b1 r e 0x8000   load     0x000c24 0x000d0c24 0x000d0c24 0x00000 0x00000 rw  0x8000 now it's time for calculating the data, we know the size and we see the each load headers size which is just unfit, further, i don't see any section (either dynamic or static) nor relocation data that i can expect from an arm elf (they should have more symbols), which is strange."
Dofloo-MalwareMustDie.csv,0x0002fbd0,find,MEM,mem_addr,0,0,"1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ;-- entry0: 0x0002f118  adr     r12, off_2f104 0x0002f11c  ldmia   r12, {r1,r2,r10,r11,lr} 0x0002f120  add     r10, r10, r12 0x0002f124  add     r11, r11, r12 0x0002f128  mov     r0, r2 0x0002f12c  sub     r9, r12, r1 0x0002f130  add     r1, r1, #0x1000 0x0002f134  mov     r3, #0 0x0002f138  stmfd   sp!, {r0-r3,lr} 0x0002f13c  mov     r2, #7 0x0002f140  ldr     r3, [r12,#0x10] 0x0002f144  mov     r5, #0 0x0002f148  mov     r4, 0xffffffff 0x0002f14c  orr     r3, r3, #0x10 0x0002f150  mov     r7, #0xc0 0x0002f154  svc     0 0x0002f158  cmn     r0, #0x1000 0x0002f15c  bcs     loc_0x02fbd0   [...]  ..following the registers value and in r1 we will find the value that can tell what is happening:  1 2 3 4 5 0x0002fbd0  mov  r2, #0x1e 0x0002fbd4  adr  r1, aprot_execprot_ ; prot_exec|prot_write failed.\n 0x0002fbd8  mov  r0, #2 0x0002fbdc  mov  r7, #4 0x0002fbe0  svc  0 this value may ring your bells too :)."
Dofloo-MalwareMustDie.csv,0x0002fc0e,pack,MEM,mem_addr,0,0,"i look from its dcb data from where it was called and clarifying the answer:  1 2 3 4 5 6 7 8 9 10 11 0x0002fbf0 aprot_execprot_ dcb prot_exec|prot_write failed.,0xa,0 0x0002fc0e                 dcb 0xa,0 0x0002fc10 ainfothisfileis dcb 0x24,info: this file is packed with the upx executable packer http:/ 0x0002fc10                 dcb /upx.sf.net ,0x24,0xa,0 0x0002fc5f aidupx3_91copyr dcb 0x24,id: upx 3.91 copyright (c) 1996-2013 the upx team."
Dofloo-MalwareMustDie.csv,0x0002f120,"r1,r2,r10,r11,lr",MEM,mem_addr,0,0,"1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ;-- entry0: 0x0002f118  adr     r12, off_2f104 0x0002f11c  ldmia   r12, {r1,r2,r10,r11,lr} 0x0002f120  add     r10, r10, r12 0x0002f124  add     r11, r11, r12 0x0002f128  mov     r0, r2 0x0002f12c  sub     r9, r12, r1 0x0002f130  add     r1, r1, #0x1000 0x0002f134  mov     r3, #0 0x0002f138  stmfd   sp!, {r0-r3,lr} 0x0002f13c  mov     r2, #7 0x0002f140  ldr     r3, [r12,#0x10] 0x0002f144  mov     r5, #0 0x0002f148  mov     r4, 0xffffffff 0x0002f14c  orr     r3, r3, #0x10 0x0002f150  mov     r7, #0xc0 0x0002f154  svc     0 0x0002f158  cmn     r0, #0x1000 0x0002f15c  bcs     loc_0x02fbd0   [...]  ..following the registers value and in r1 we will find the value that can tell what is happening:  1 2 3 4 5 0x0002fbd0  mov  r2, #0x1e 0x0002fbd4  adr  r1, aprot_execprot_ ; prot_exec|prot_write failed.\n 0x0002fbd8  mov  r0, #2 0x0002fbdc  mov  r7, #4 0x0002fbe0  svc  0 this value may ring your bells too :)."
